Region,Identity,State,District,statename,full_name
CD,AK00,AK,0,Alaska,Alaska's at large District
CD,AL01,AL,1,Alabama,Alabama's 1st District
CD,AL02,AL,2,Alabama,Alabama's 2nd District
CD,AL03,AL,3,Alabama,Alabama's 3rd District
CD,AL04,AL,4,Alabama,Alabama's 4th District
CD,AL05,AL,5,Alabama,Alabama's 5th District
CD,AL06,AL,6,Alabama,Alabama's 6th District
CD,AL07,AL,7,Alabama,Alabama's 7th District
CD,AR01,AR,1,Arkansas,Arkansas' 1st District
CD,AR02,AR,2,Arkansas,Arkansas' 2nd District
CD,AR03,AR,3,Arkansas,Arkansas' 3rd District
CD,AR04,AR,4,Arkansas,Arkansas' 4th District
CD,AZ01,AZ,1,Arizona,Arizona's 1st District
CD,AZ02,AZ,2,Arizona,Arizona's 2nd District
CD,AZ03,AZ,3,Arizona,Arizona's 3rd District
CD,AZ04,AZ,4,Arizona,Arizona's 4th District
CD,AZ05,AZ,5,Arizona,Arizona's 5th District
CD,AZ06,AZ,6,Arizona,Arizona's 6th District
CD,AZ07,AZ,7,Arizona,Arizona's 7th District
CD,AZ08,AZ,8,Arizona,Arizona's 8th District
CD,AZ09,AZ,9,Arizona,Arizona's 9th District
CD,CA01,CA,1,California,California's 1st District
CD,CA02,CA,2,California,California's 2nd District
CD,CA03,CA,3,California,California's 3rd District
CD,CA04,CA,4,California,California's 4th District
CD,CA05,CA,5,California,California's 5th District
CD,CA06,CA,6,California,California's 6th District
CD,CA07,CA,7,California,California's 7th District
CD,CA08,CA,8,California,California's 8th District
CD,CA09,CA,9,California,California's 9th District
CD,CA10,CA,10,California,California's 10th District
CD,CA11,CA,11,California,California's 11th District
CD,CA12,CA,12,California,California's 12th District
CD,CA13,CA,13,California,California's 13th District
CD,CA14,CA,14,California,California's 14th District
CD,CA15,CA,15,California,California's 15th District
CD,CA16,CA,16,California,California's 16th District
CD,CA17,CA,17,California,California's 17th District
CD,CA18,CA,18,California,California's 18th District
CD,CA19,CA,19,California,California's 19th District
CD,CA20,CA,20,California,California's 20th District
CD,CA21,CA,21,California,California's 21st District
CD,CA22,CA,22,California,California's 22nd District
CD,CA23,CA,23,California,California's 23rd District
CD,CA24,CA,24,California,California's 24th District
CD,CA25,CA,25,California,California's 25th District
CD,CA26,CA,26,California,California's 26th District
CD,CA27,CA,27,California,California's 27th District
CD,CA28,CA,28,California,California's 28th District
CD,CA29,CA,29,California,California's 29th District
CD,CA30,CA,30,California,California's 30th District
CD,CA31,CA,31,California,California's 31st District
CD,CA32,CA,32,California,California's 32nd District
CD,CA33,CA,33,California,California's 33rd District
CD,CA34,CA,34,California,California's 34th District
CD,CA35,CA,35,California,California's 35th District
CD,CA36,CA,36,California,California's 36th District
CD,CA37,CA,37,California,California's 37th District
CD,CA38,CA,38,California,California's 38th District
CD,CA39,CA,39,California,California's 39th District
CD,CA40,CA,40,California,California's 40th District
CD,CA41,CA,41,California,California's 41st District
CD,CA42,CA,42,California,California's 42nd District
CD,CA43,CA,43,California,California's 43rd District
CD,CA44,CA,44,California,California's 44th District
CD,CA45,CA,45,California,California's 45th District
CD,CA46,CA,46,California,California's 46th District
CD,CA47,CA,47,California,California's 47th District
CD,CA48,CA,48,California,California's 48th District
CD,CA49,CA,49,California,California's 49th District
CD,CA50,CA,50,California,California's 50th District
CD,CA51,CA,51,California,California's 51st District
CD,CA52,CA,52,California,California's 52nd District
CD,CO01,CO,1,Colorado,Colorado's 1st District
CD,CO02,CO,2,Colorado,Colorado's 2nd District
CD,CO03,CO,3,Colorado,Colorado's 3rd District
CD,CO04,CO,4,Colorado,Colorado's 4th District
CD,CO05,CO,5,Colorado,Colorado's 5th District
CD,CO06,CO,6,Colorado,Colorado's 6th District
CD,CO07,CO,7,Colorado,Colorado's 7th District
CD,CO08,CO,8,Colorado,Colorado’s 8th District
CD,CT01,CT,1,Connecticut,Connecticut's 1st District
CD,CT02,CT,2,Connecticut,Connecticut's 2nd District
CD,CT03,CT,3,Connecticut,Connecticut's 3rd District
CD,CT04,CT,4,Connecticut,Connecticut's 4th District
CD,CT05,CT,5,Connecticut,Connecticut's 5th District
CD,DC00,DC,00,District of Columbia,District of Columbia's District
CD,DE00,DE,0,Delaware,Delaware's at large District
CD,FL01,FL,1,Florida,Florida's 1st District
CD,FL02,FL,2,Florida,Florida's 2nd District
CD,FL03,FL,3,Florida,Florida's 3rd District
CD,FL04,FL,4,Florida,Florida's 4th District
CD,FL05,FL,5,Florida,Florida's 5th District
CD,FL06,FL,6,Florida,Florida's 6th District
CD,FL07,FL,7,Florida,Florida's 7th District
CD,FL08,FL,8,Florida,Florida's 8th District
CD,FL09,FL,9,Florida,Florida's 9th District
CD,FL10,FL,10,Florida,Florida's 10th District
CD,FL11,FL,11,Florida,Florida's 11th District
CD,FL12,FL,12,Florida,Florida's 12th District
CD,FL13,FL,13,Florida,Florida's 13th District
CD,FL14,FL,14,Florida,Florida's 14th District
CD,FL15,FL,15,Florida,Florida's 15th District
CD,FL16,FL,16,Florida,Florida's 16th District
CD,FL17,FL,17,Florida,Florida's 17th District
CD,FL18,FL,18,Florida,Florida's 18th District
CD,FL19,FL,19,Florida,Florida's 19th District
CD,FL20,FL,20,Florida,Florida's 20th District
CD,FL21,FL,21,Florida,Florida's 21st District
CD,FL22,FL,22,Florida,Florida's 22nd District
CD,FL23,FL,23,Florida,Florida's 23rd District
CD,FL24,FL,24,Florida,Florida's 24th District
CD,FL25,FL,25,Florida,Florida's 25th District
CD,FL26,FL,26,Florida,Florida's 26th District
CD,FL27,FL,27,Florida,Florida's 27th District
CD,FL28,FL,28,Florida,Florida’s 28th District
CD,GA01,GA,1,Georgia,Georgia's 1st District
CD,GA02,GA,2,Georgia,Georgia's 2nd District
CD,GA03,GA,3,Georgia,Georgia's 3rd District
CD,GA04,GA,4,Georgia,Georgia's 4th District
CD,GA05,GA,5,Georgia,Georgia's 5th District
CD,GA06,GA,6,Georgia,Georgia's 6th District
CD,GA07,GA,7,Georgia,Georgia's 7th District
CD,GA08,GA,8,Georgia,Georgia's 8th District
CD,GA09,GA,9,Georgia,Georgia's 9th District
CD,GA10,GA,10,Georgia,Georgia's 10th District
CD,GA11,GA,11,Georgia,Georgia's 11th District
CD,GA12,GA,12,Georgia,Georgia's 12th District
CD,GA13,GA,13,Georgia,Georgia's 13th District
CD,GA14,GA,14,Georgia,Georgia's 14th District
CD,HI01,HI,1,Hawaii,Hawaii's 1st District
CD,HI02,HI,2,Hawaii,Hawaii's 2nd District
CD,IA01,IA,1,Iowa,Iowa's 1st District
CD,IA02,IA,2,Iowa,Iowa's 2nd District
CD,IA03,IA,3,Iowa,Iowa's 3rd District
CD,IA04,IA,4,Iowa,Iowa's 4th District
